artist,comment,level,lr2_bmsid,md5,name_diff,title,url,url_diff,player,clear_player,theoretical_score,top_score,average_score,std_dev_score,optimized_p,bpi_scores
にんにくマニア,,20,39807,2b0fd2e97e6458239a9c66b6031defed,,ピアノ狂騒曲第壱番「滅宴」 (KF7),http://manbow.nothing.sh/event/event.cgi?action=More_def&num=192&event=60,,3523,910,5544,5513,4987.1121,159.2403,0.5,"[5501.2, 5485.29, 5468.52, 5451.77, 5435.9, 5421.71, 5409.89, 5401.03, 5395.54]"
Symphonian,,9,39343,2b616cb6c4c80891834643f2c53bf2b6,,Wild Clown (7key-SH),http://www.symphonian.co.kr/,,7424,998,3780,3727,3329.1032,128.7988,0.5,"[3724.68, 3711.26, 3697.85, 3684.99, 3673.16, 3662.83, 3654.37, 3648.1, 3644.24]"
美樹さやか vs. 美樹さやか (fw. 美樹さやか) BGA ： 美樹さやか,元URLダウンロード不可？ttp://www1.axfc.net/uploader/so/2705711?key=bms,13,112213,2cb7ca662fa47655ac21421ed7b8aea3,,squartatrice,http://dee.manbow.org/event/event.cgi?action=More_def&num=99&event=74,,7427,983,4114,4050,3636.8922,120.5514,0.5,"[4052.88, 4039.56, 4026.4, 4013.87, 4002.44, 3992.49, 3984.38, 3978.39, 3974.71]"
ねこみみ魔法使い / 29,#19,22,1817,2ce093dffc92f27e00055b5143ceb319,http://nick.xxxxxxxx.jp/,theme of Maia [29Another],http://nekomimi.name/,http://nick.xxxxxxxx.jp/,3742,884,4684,4659,4158.7229,161.4192,0.5,"[4646.4, 4630.78, 4614.04, 4597.11, 4580.94, 4566.38, 4554.21, 4545.05, 4539.36]"
Junk/さ,発狂DPBMS保管庫:https://onedrive.live.com/?id=863934608D908CD0%21105&cid=863934608D908CD0,6,58618,2d4c2770b3a9e63e86bbe978ea968a3f,http://sabosabun.tank.jp/,The Panorama [EX],http://blog.livedoor.jp/junk_life5/archives/2043121.html,http://sabosabun.tank.jp/,9535,1000,4198,4198,4028.805,73.1301,0.5,"[4197.91, 4195.49, 4188.63, 4177.56, 4163.6, 4148.58, 4134.42, 4122.89, 4115.38]"
siromaru / 29,,3,16708,2d7477eed67b34291140d50425f58a40,http://nick.xxxxxxxx.jp/,Super Mario Brothers Main Theme [29Another],http://dl.dropbox.com/u/40341869/bms/hokan/smb.zip,http://nick.xxxxxxxx.jp/,8127,1000,4134,4127,3912.962,79.365,0.5,"[4120.55, 4110.61, 4098.79, 4085.96, 4073.07, 4061.05, 4050.73, 4042.82, 4037.86]"
anubasu-anubasu BGA by FF9900　OBJ by screw,BOF系全般up0523ズレ修正前http://www.dream-pro.info/~lavalse/LR2IR/search.cgi?mode=ranking&bmsid=174262,13,181796,2de63fd44b0d534cba821b082ff8f732,http://absolute.pv.land.to/bmsuploader.html,Mercury Prayer [Bless],http://manbow.nothing.sh/event/event.cgi?action=More_def&num=350&event=88,http://absolute.pv.land.to/bof/src/up0523.zip,4017,1000,4096,4087,3793.976,120.8957,0.5086690060673428,"[4078.69, 4067.15, 4053.63, 4039.07, 4024.46, 4010.8, 3999.01, 3989.89, 3984.06]"
Process 2.3.1. / obj.D-BLUE,,16,36883,2e1c5ef56b7e8ac5c441af17be37a15e,http://bmssabun2.web.fc2.com/,チョウの標本 [Maniac7],http://web.archive.org/web/20030609160042/http://www3.ocn.ne.jp/~yosu/tyou.rar,http://bmssabun2.web.fc2.com/,5153,996,4062,3999,3584.5763,135.6436,0.5,"[4001.34, 3987.96, 3974.73, 3962.13, 3950.62, 3940.6, 3932.43, 3926.39, 3922.67]"
sun3 / BGA:Johnny / obj:ds,所属チーム「Tribullets Decrements」up0454.zipGENOSIDE段位認定 発狂九段 4曲目,20,40173,2e1cc5e6bb96bff8a92f2defce49e70a,http://absolute.pv.land.to/bmsuploader.html,Messier 333 (EX7),http://manbow.nothing.sh/event/event.cgi?action=More_def&num=113&event=60,http://absolute.pv.land.to/uploader/src/up0454.zip,4778,981,7032,6947,6222.3221,260.5758,0.5,"[6958.02, 6941.11, 6924.32, 6908.28, 6893.6, 6880.8, 6870.34, 6862.6, 6857.85]"
xi / air,補完http://skydrive.live.com/?cid=FD93B4F2CB8CD95F&id=FD93B4F2CB8CD95F%21105,23,1539,2e2c4168d3c350de3136a0c2ad23dce3,,FREEDOM DiVE [UNIVERSE],http://manbow.nothing.sh/event/event.cgi?act,https://dl.dropboxusercontent.com/s/g3ig60n2oi3nc9g/airsabun.zip,3980,911,6820,6755,5780.225,350.3772,0.5,"[6752.82, 6732.9, 6712.52, 6692.62, 6674.08, 6657.71, 6644.2, 6634.13, 6627.92]"
